player_id,last_season,current_club_id,name,pretty_name,country_of_birth,country_of_citizenship,date_of_birth,position,sub_position,foot,height_in_cm,market_value_in_gbp,highest_market_value_in_gbp,url
216872,2018,8970,francesco-zampano,Francesco Zampano,Italy,Italy,9/30/1993,Defender,Right-Back,Right,177,720000,2250000,https://www.transfermarkt.co.uk/francesco-zampano/profil/spieler/216872
188889,2018,130,matteo-luigi-brunori,Matteo Luigi Brunori,Brazil,Italy,11/1/1994,Attack,Centre-Forward,Right,180,360000,360000,https://www.transfermarkt.co.uk/matteo-luigi-brunori/profil/spieler/188889
109110,2018,8970,nicolo-brighenti,Nicolo Brighenti,Italy,Italy,8/1/1989,Defender,Centre-Back,Right,178,180000,1170000,https://www.transfermarkt.co.uk/nicolo-brighenti/profil/spieler/109110
198613,2018,8970,stefan-simic,Stefan Simic,Czech Republic,Czech Republic,1/20/1995,Defender,Centre-Back,Right,189,675000,900000,https://www.transfermarkt.co.uk/stefan-simic/profil/spieler/198613
541232,2018,1025,caio-vinicius-pirana,Caio Vinicius Pirana,Brazil,Brazil,5/8/1999,Goalkeeper,Goalkeeper,,0,,68000,https://www.transfermarkt.co.uk/caio-vinicius-pirana/profil/spieler/541232
164091,2018,8970,marco-capuano,Marco Capuano,Italy,Italy,10/14/1991,Defender,Centre-Back,Left,186,180000,1620000,https://www.transfermarkt.co.uk/marco-capuano/profil/spieler/164091
84921,2018,8970,lorenzo-ariaudo,Lorenzo Ariaudo,Italy,Italy,6/11/1989,Defender,Centre-Back,Left,186,270000,1620000,https://www.transfermarkt.co.uk/lorenzo-ariaudo/profil/spieler/84921
138584,2018,8970,luka-krajnc,Luka Krajnc,Slovenia,Slovenia,9/19/1994,Defender,Centre-Back,Left,187,675000,1620000,https://www.transfermarkt.co.uk/luka-krajnc/profil/spieler/138584
654681,2018,8970,pier-paolo-salvati,Pier Paolo Salvati,,Italy,2/26/2002,Goalkeeper,Goalkeeper,,0,45000,45000,https://www.transfermarkt.co.uk/pier-paolo-salvati/profil/spieler/654681
355791,2018,1025,fabrizio-brignani,Fabrizio Brignani,Italy,Italy,1/13/1998,Defender,Centre-Back,Right,191,180000,180000,https://www.transfermarkt.co.uk/fabrizio-brignani/profil/spieler/355791
104290,2018,8970,alessandro-iacobucci,Alessandro Iacobucci,Italy,Italy,6/3/1991,Goalkeeper,Goalkeeper,Left,187,180000,1170000,https://www.transfermarkt.co.uk/alessandro-iacobucci/profil/spieler/104290
5928,2018,862,sergio-pellissier,Sergio Pellissier,Italy,Italy,4/12/1979,Attack,Centre-Forward,Right,175,,6300000,https://www.transfermarkt.co.uk/sergio-pellissier/profil/spieler/5928
429318,2018,862,sergej-grubac,Sergej Grubac,Yugoslavia (Republic),Montenegro,5/29/2000,Attack,Centre-Forward,Right,190,180000,225000,https://www.transfermarkt.co.uk/sergej-grubac/profil/spieler/429318
61770,2018,8970,emanuele-terranova,Emanuele Terranova,Italy,Italy,4/14/1987,Defender,Centre-Back,Right,183,180000,2250000,https://www.transfermarkt.co.uk/emanuele-terranova/profil/spieler/61770
463356,2018,862,andrea-isufaj,Andrea Isufaj,Italy,Italy,11/21/1999,Attack,Centre-Forward,Left,182,23000,225000,https://www.transfermarkt.co.uk/andrea-isufaj/profil/spieler/463356
340639,2018,862,ngissah-bismark,Ngissah Bismark,,Ghana,1/9/1998,Attack,Centre-Forward,Right,184,90000,203000,https://www.transfermarkt.co.uk/ngissah-bismark/profil/spieler/340639
47065,2018,862,filip-djordjevic,Filip Djordjevic,Jugoslawien (SFR),Serbia,9/28/1987,Attack,Centre-Forward,Left,186,,4950000,https://www.transfermarkt.co.uk/filip-djordjevic/profil/spieler/47065
319727,2018,1025,andrea-vassallo,Andrea Vassallo,Italy,Italy,9/30/1997,Attack,Left Winger,Left,180,23000,225000,https://www.transfermarkt.co.uk/andrea-vassallo/profil/spieler/319727
190206,2018,862,victor,Victor,Brazil,Brazil,1/4/1995,Midfield,Attacking Midfield,Right,178,248000,720000,https://www.transfermarkt.co.uk/victor/profil/spieler/190206
205677,2018,862,luca-garritano,Luca Garritano,Italy,Italy,2/11/1994,Midfield,Attacking Midfield,Right,172,1620000,1620000,https://www.transfermarkt.co.uk/luca-garritano/profil/spieler/205677
84835,2018,862,emanuele-giaccherini,Emanuele Giaccherini,Italy,Italy,5/5/1985,Midfield,Left Midfield,Right,167,,7650000,https://www.transfermarkt.co.uk/emanuele-giaccherini/profil/spieler/84835
606466,2018,862,mauro-burruchaga,Mauro Burruchaga,Argentina,Argentina,6/27/1998,Midfield,Central Midfield,Left,174,45000,45000,https://www.transfermarkt.co.uk/mauro-burruchaga/profil/spieler/606466
394352,2018,862,massimo-bertagnoli,Massimo Bertagnoli,Italy,Italy,2/26/1999,Midfield,Central Midfield,Right,178,1260000,1260000,https://www.transfermarkt.co.uk/massimo-bertagnoli/profil/spieler/394352
273776,2018,862,yusupha-bobb,Yusupha Bobb,The Gambia,The Gambia,6/22/1996,Midfield,Central Midfield,Left,175,158000,225000,https://www.transfermarkt.co.uk/yusupha-bobb/profil/spieler/273776
195051,2018,862,gianluca-gaudino,Gianluca Gaudino,Germany,Germany,11/11/1996,Midfield,Central Midfield,Both,179,360000,2250000,https://www.transfermarkt.co.uk/gianluca-gaudino/profil/spieler/195051
290754,2018,862,malick-mbaye,Malick Mbaye,Senegal,Senegal,11/6/1995,Midfield,Central Midfield,Right,185,135000,540000,https://www.transfermarkt.co.uk/malick-mbaye/profil/spieler/290754
28936,2018,862,riccardo-meggiorini,Riccardo Meggiorini,Italy,Italy,9/4/1985,Attack,Centre-Forward,Left,182,225000,3150000,https://www.transfermarkt.co.uk/riccardo-meggiorini/profil/spieler/28936
163264,2018,862,giovanni-di-noia,Giovanni Di Noia,Italy,Italy,7/3/1994,Midfield,Central Midfield,Left,180,293000,540000,https://www.transfermarkt.co.uk/giovanni-di-noia/profil/spieler/163264
61757,2018,862,nicola-rigoni,Nicola Rigoni,Italy,Italy,11/12/1990,Midfield,Defensive Midfield,Right,185,270000,1800000,https://www.transfermarkt.co.uk/nicola-rigoni/profil/spieler/61757
38591,2018,862,nicolas-frey,Nicolas Frey,France,France,3/6/1984,Defender,Right-Back,Right,184,,1260000,https://www.transfermarkt.co.uk/nicolas-frey/profil/spieler/38591
323426,2018,862,andrea-magrini,Andrea Magrini,Italy,Italy,8/26/1997,Defender,Right-Back,Right,190,,180000,https://www.transfermarkt.co.uk/andrea-magrini/profil/spieler/323426
253855,2018,862,michael-fabbro,Michael Fabbro,Italy,Italy,5/10/1996,Attack,Centre-Forward,Right,173,270000,315000,https://www.transfermarkt.co.uk/michael-fabbro/profil/spieler/253855
288000,2018,862,michele-troiani,Michele Troiani,Italy,Italy,7/21/1996,Defender,Right-Back,Right,181,,270000,https://www.transfermarkt.co.uk/michele-troiani/profil/spieler/288000
287726,2018,862,davide-savi,Davide Savi,Italy,Italy,11/15/1995,Defender,Centre-Back,Left,190,23000,45000,https://www.transfermarkt.co.uk/davide-savi/profil/spieler/287726
460034,2018,8970,giuseppe-marciano,Giuseppe Marciano,Italy,Italy,5/27/2000,Goalkeeper,Goalkeeper,,0,45000,68000,https://www.transfermarkt.co.uk/giuseppe-marciano/profil/spieler/460034
349905,2018,862,cesare-pogliano,Cesare Pogliano,Italy,Italy,1/8/1998,Defender,Centre-Back,Right,190,90000,113000,https://www.transfermarkt.co.uk/cesare-pogliano/profil/spieler/349905
393801,2018,862,nicola-danieli,Nicola Danieli,Italy,Italy,3/26/1998,Midfield,Defensive Midfield,Right,178,90000,90000,https://www.transfermarkt.co.uk/nicola-danieli/profil/spieler/393801
283067,2018,862,davide-mansi,Davide Mansi,Italy,Italy,1/18/1996,Defender,Centre-Back,Right,186,45000,68000,https://www.transfermarkt.co.uk/davide-mansi/profil/spieler/283067
321686,2018,862,giovanni-nuti,Giovanni Nuti,Italy,Italy,11/6/1998,Defender,Centre-Back,Left,0,23000,45000,https://www.transfermarkt.co.uk/giovanni-nuti/profil/spieler/321686
375320,2018,862,edoardo-sbampato,Edoardo Sbampato,Italy,Italy,2/5/1998,Defender,Centre-Back,Right,185,90000,113000,https://www.transfermarkt.co.uk/edoardo-sbampato/profil/spieler/375320
199941,2018,8970,andrea-beghetto,Andrea Beghetto,Italy,Italy,10/11/1994,Defender,Left-Back,Left,182,630000,1800000,https://www.transfermarkt.co.uk/andrea-beghetto/profil/spieler/199941
24606,2018,862,bostjan-cesar,Bostjan Cesar,Jugoslawien (SFR),Slovenia,7/9/1982,Defender,Centre-Back,Left,191,,1800000,https://www.transfermarkt.co.uk/bostjan-cesar/profil/spieler/24606
400001,2018,862,strahinja-tanasijevic,Strahinja Tanasijevic,Yugoslavia (Republic),Serbia,6/12/1997,Defender,Centre-Back,Right,183,810000,810000,https://www.transfermarkt.co.uk/strahinja-tanasijevic/profil/spieler/400001
165900,2018,8970,federico-viviani,Federico Viviani,Italy,Italy,3/24/1992,Midfield,Defensive Midfield,Right,180,450000,3420000,https://www.transfermarkt.co.uk/federico-viviani/profil/spieler/165900
621554,2018,862,michele-bragantini,Michele Bragantini,Italy,Italy,5/14/2001,Goalkeeper,Goalkeeper,Right,188,45000,90000,https://www.transfermarkt.co.uk/michele-bragantini/profil/spieler/621554
394348,2018,862,filippo-pavoni,Filippo Pavoni,Italy,Italy,8/8/1999,Goalkeeper,Goalkeeper,Right,186,23000,68000,https://www.transfermarkt.co.uk/filippo-pavoni/profil/spieler/394348
36356,2018,862,marco-andreolli,Marco Andreolli,Italy,Italy,6/10/1986,Defender,Centre-Back,Right,187,,3780000,https://www.transfermarkt.co.uk/marco-andreolli/profil/spieler/36356
393797,2018,862,alessandro-confente,Alessandro Confente,Italy,Italy,6/7/1998,Goalkeeper,Goalkeeper,Right,194,180000,180000,https://www.transfermarkt.co.uk/alessandro-confente/profil/spieler/393797
290739,2018,862,ansoumana-sane,Ansoumana Sane,Senegal,Senegal,5/25/1996,Defender,Left-Back,Left,177,90000,225000,https://www.transfermarkt.co.uk/ansoumana-sane/profil/spieler/290739
348520,2018,749,vincenzo-plescia,Vincenzo Plescia,Italy,Italy,2/18/1998,Attack,Centre-Forward,Right,189,135000,180000,https://www.transfermarkt.co.uk/vincenzo-plescia/profil/spieler/348520
169533,2018,749,alejandro-rodriguez,Alejandro Rodriguez,Spain,Spain,7/30/1991,Attack,Centre-Forward,Right,183,135000,720000,https://www.transfermarkt.co.uk/alejandro-rodriguez/profil/spieler/169533
56912,2018,749,levan-mchedlidze,Levan Mchedlidze,UdSSR,Georgia,3/24/1990,Attack,Centre-Forward,Left,192,180000,1350000,https://www.transfermarkt.co.uk/levan-mchedlidze/profil/spieler/56912
268426,2018,749,arnel-jakupovic,Arnel Jakupovic,,Austria,5/29/1998,Attack,Second Striker,Left,186,540000,630000,https://www.transfermarkt.co.uk/arnel-jakupovic/profil/spieler/268426
291522,2018,749,tommaso-fantacci,Tommaso Fantacci,Italy,Italy,3/17/1997,Attack,Right Winger,Left,183,135000,180000,https://www.transfermarkt.co.uk/tommaso-fantacci/profil/spieler/291522
163683,2018,749,manuel-pucciarelli,Manuel Pucciarelli,Italy,Italy,6/17/1991,Attack,Second Striker,Right,174,900000,3600000,https://www.transfermarkt.co.uk/manuel-pucciarelli/profil/spieler/163683
253857,2018,749,alessandro-piu,Alessandro Piu,Italy,Italy,7/30/1996,Attack,Left Winger,Right,186,113000,630000,https://www.transfermarkt.co.uk/alessandro-piu/profil/spieler/253857
5868,2018,749,matteo-brighi,Matteo Brighi,Italy,Italy,2/14/1981,Midfield,Central Midfield,Right,178,,11700000,https://www.transfermarkt.co.uk/matteo-brighi/profil/spieler/5868
305686,2018,749,alberto-picchi,Alberto Picchi,Italy,Italy,8/12/1997,Midfield,Central Midfield,Left,185,68000,315000,https://www.transfermarkt.co.uk/alberto-picchi/profil/spieler/305686
74956,2018,749,marcel-buchel,Marcel Buchel,Austria,Liechtenstein,3/18/1991,Midfield,Central Midfield,Left,175,270000,1800000,https://www.transfermarkt.co.uk/marcel-buchel/profil/spieler/74956
158463,2018,749,lorenzo-lollo,Lorenzo Lollo,Italy,Italy,12/8/1990,Midfield,Central Midfield,Right,180,248000,1080000,https://www.transfermarkt.co.uk/lorenzo-lollo/profil/spieler/158463
467994,2018,749,luca-belardinelli,Luca Belardinelli,Italy,Italy,3/14/2001,Midfield,Defensive Midfield,Right,0,113000,135000,https://www.transfermarkt.co.uk/luca-belardinelli/profil/spieler/467994
390117,2018,749,samuele-damiani,Samuele Damiani,Italy,Italy,1/30/1998,Midfield,Defensive Midfield,Both,178,180000,225000,https://www.transfermarkt.co.uk/samuele-damiani/profil/spieler/390117
390120,2018,749,davide-zappella,Davide Zappella,Italy,Italy,4/29/1998,Defender,Right-Back,Right,176,225000,225000,https://www.transfermarkt.co.uk/davide-zappella/profil/spieler/390120
147031,2018,749,joel-untersee,Joel Untersee,South Africa,Switzerland,2/11/1994,Defender,Right-Back,Right,181,360000,1080000,https://www.transfermarkt.co.uk/joel-untersee/profil/spieler/147031
411211,2018,749,niccolo-ricchi,Niccolo Ricchi,Italy,Italy,12/10/2000,Defender,Left-Back,Left,181,68000,90000,https://www.transfermarkt.co.uk/niccolo-ricchi/profil/spieler/411211
394849,2018,862,lorenzo-sarini,Lorenzo Sarini,,Italy,2/27/1999,Goalkeeper,Goalkeeper,Right,180,,68000,https://www.transfermarkt.co.uk/lorenzo-sarini/profil/spieler/394849
452867,2018,749,massimiliano-benucci,Massimiliano Benucci,Italy,Italy,11/10/1998,Midfield,Defensive Midfield,Left,181,68000,68000,https://www.transfermarkt.co.uk/massimiliano-benucci/profil/spieler/452867
23284,2018,749,manuel-pasqual,Manuel Pasqual,Italy,Italy,3/13/1982,Defender,Left-Back,Left,178,,9000000,https://www.transfermarkt.co.uk/manuel-pasqual/profil/spieler/23284
21891,2018,862,stefano-sorrentino,Stefano Sorrentino,Italy,Italy,3/28/1979,Goalkeeper,Goalkeeper,Right,186,,2970000,https://www.transfermarkt.co.uk/stefano-sorrentino/profil/spieler/21891
355048,2018,749,davide-seminara,Davide Seminara,Italy,Italy,7/5/1998,Defender,Left-Back,Left,181,68000,135000,https://www.transfermarkt.co.uk/davide-seminara/profil/spieler/355048
